0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:00:40 +0700] "GET /Student/MainController?action=delete&id=FA001 HTTP/1.1" 200 1787
127.0.0.1 - - [16/Dec/2023:00:03:29 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:29 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:03:29 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:29 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:03:29 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:29 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:03:29 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - - [16/Dec/2023:00:03:29 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:29 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:03:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:03:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:03:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:03:33 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - - [16/Dec/2023:00:03:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:03:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:03:39 +0700] "GET /PE_PRJ301/MainController?search=&action=Search HTTP/1.1" 200 2074
127.0.0.1 - - [16/Dec/2023:00:04:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:04:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:04:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/reload?path=/PE_PRJ301 HTTP/1.1" 200 67
127.0.0.1 - - [16/Dec/2023:00:04:33 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:04:33 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:31 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:31 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:31 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/reload?path=/PE_PRJ301 HTTP/1.1" 200 67
127.0.0.1 - - [16/Dec/2023:00:06:31 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:31 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:48 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:48 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:06:48 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/reload?path=/PE_PRJ301 HTTP/1.1" 200 67
127.0.0.1 - - [16/Dec/2023:00:06:48 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:06:48 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
